cons_grade;French;US;UIAA;Ewbank;Polish;Norwegian
1;1;03. Apr;1;1;I-;
2;1a;5;1;2;;
3;1b;5;1;3;I;
4;1c;5;1;4;;
5;2a;5.1;2;5;;
6;2b;5.2;2;6;;
7;2c;5.2;2;7;;3-
8;3a;5.3;3;8;III;3
9;3a+;5.3;3;9;III+;
10;3b;5.3;3;10;;3+
11;3b+;5.3;3;10. Nov;IV-;4-
12;3c;5.3;3;11;;
13;3c+;5.3;4-;11. Dez;IV;4
14;4a;5.4;4;12;;
15;4a+;5.4/.5;4+;Dez 13;IV+;4+
16;4b;5.5;5-;13;;
17;4b+;5.5/.6;;13/14;V-;5-
18;4c;5.6;5;14;;
19;4c+;5.6/.7;;14/15;V;5
20;5a;5.7;5+;15;;
21;5a+;5.7/.8;;15/16;V+;
22;5b;5.8;6-;16;;5+
23;5b+;5.8/.9;;16/17;VI-;
24;5c;5.9;6;17;;
25;5c/c+;5.9/.10;;;;
26;5c+;5.10-;6/6+;17/18;VI;
27;5c+/6a;5.10+;;;;
28;6a;5.10a;6+;18;VI/VI+;6-
29;6a/a+;5.10a/b;6+/7-;18/19;;
30;6a+;5.10b;7-;19;VI+;
31;6a+/b;5.10b/c;;19/20;VI+/VI.1;6
32;6b;5.10c;7;20;VI.1;
33;6b/b+;5.10c/d;7 to 7+;20/21;VI.1/1+;
34;6b+;5.10d;7+;21;VI.1+;6+
35;6b+/c;5.10d/.11a;;21/22;VI.1+/2;
36;6c;5.11a;7+/8-;22;VI.2;7-
37;6c/c+;5.11a/b;;22/23;VI.2/2+;7-/7
38;6c+;5.11b;8-;23;VI.2+;7
39;6c+/7a;5.11c;8-/8;23/24;VI.2+/3;7/7+
40;7a;5.11d;8;24;VI.3;7+
41;7a/a+;5.11d/.12a;8/8+;24/25;VI.3/3+;
42;7a+;5.12a;8+;25;VI.3+;7+/8-
43;7a+/b;5.12a/b;;25/26;VI.3+/4;8-
44;7b;5.12b;8+/9-;26;VI.4;
45;7b/b+;5.12b/c;;26/27;VI.4/4+;
46;7b+;5.12c;9-;27;;8
47;7b+/c;5.12c/d;;27/28;VI.4+;
48;7c;5.12d;9;28;VI.4+/5;
49;7c/c+;5.12d/.13a;;28/29;;
50;7c+;5.13a;9+;;VI.5;8+
51;7c+/8a;5.13a/b;;29;VI.5/5+;
52;8a;5.13b;9+/10-;29/30;VI.5+;
53;8a/a+;5.13b/c;;;VI.5+/6;9-
54;8a+;5.13c;10-;30;VI.6;
55;8a+/b;5.13c/d;10-/10;30/31;;
56;8b;5.13d;10;31;;
57;8b/b+;5.13d/.14a;10/1+;31/32;;9
58;8b+;5.14a;10+;32;VI.6+;
59;8b+/c;5.14a/b;;32/33;;
60;8c;5.14b;;33;VI.7;9+
61;8c/c+;5.14b/c;;33/34;;
62;8c+;5.14c;11-;34;VI.7+;10-
63;8c+/9a;5.14c/d;11-/11;34/35;;
64;9a;5.14d;11;35;VI.8;10
65;9a/a+;5.14d/.15a;11/11+;35/36;;
66;9a+;5.15a;11+;36;;
67;9a+/9b;5.15a/b;;36/37;VI.8+;10+
68;9b;5.15b;11+;37;;
69;9b/+;5.15b/c;11+/12-;37/38;;
70;9b+;5.15c;12-;38;VI.9;11-
71;9b+/9c;;;;;
72;9c;;;;;11
