Dataset,Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,average,max
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Accuracy,0.8163265306122449,0.6122448979591837,0.7891156462585034,0.6122448979591837,0.7414965986394558,0.7142857142857144,0.8163265306122449
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Precision,0.7678571428571429,0.0,0.7096774193548387,0.0,0.6376811594202898,0.4230431443264543,0.7678571428571429
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Recall,0.7543859649122807,0.0,0.7719298245614035,0.0,0.7719298245614035,0.4596491228070175,0.7719298245614035
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,F1-score,0.7610619469026548,0.0,0.7394957983193277,0.0,0.6984126984126984,0.4397940887269362,0.7610619469026548
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Accuracy,0.8323353293413174,0.8502994011976048,0.844311377245509,0.7994011976047904,0.8143712574850299,0.8281437125748503,0.8502994011976048
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Precision,0.7790697674418605,0.813953488372093,0.7954545454545454,0.6608695652173913,0.6842105263157895,0.746711578560336,0.813953488372093
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Recall,0.6442307692307693,0.6730769230769231,0.6730769230769231,0.7307692307692307,0.75,0.6942307692307692,0.75
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,F1-score,0.7052631578947369,0.736842105263158,0.7291666666666666,0.6940639269406393,0.7155963302752295,0.716186437408086,0.736842105263158
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Accuracy,0.8366533864541833,0.8366533864541833,0.8406374501992032,0.8605577689243028,0.8167330677290837,0.8382470119521912,0.8605577689243028
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Precision,0.9393939393939394,0.7636363636363637,0.9402985074626866,0.8137254901960784,0.7476635514018691,0.8409435704181873,0.9402985074626866
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Recall,0.6262626262626263,0.8484848484848485,0.6363636363636364,0.8383838383838383,0.8080808080808081,0.7515151515151515,0.8484848484848485
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,F1-score,0.7515151515151516,0.8038277511961722,0.7590361445783133,0.8258706467661691,0.7766990291262135,0.783389744636404,0.8258706467661691
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Accuracy,0.8115183246073299,0.806282722513089,0.837696335078534,0.7696335078534031,0.7591623036649214,0.7968586387434555,0.837696335078534
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Precision,0.7413793103448276,0.8857142857142857,0.7796610169491526,0.6515151515151515,0.6551724137931034,0.7426884356633041,0.8857142857142857
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Recall,0.671875,0.484375,0.71875,0.671875,0.59375,0.628125,0.71875
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,F1-score,0.7049180327868853,0.6262626262626262,0.7479674796747967,0.6615384615384616,0.6229508196721311,0.6727274839869801,0.7479674796747967
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Accuracy,0.8695652173913043,0.8695652173913043,0.9192546583850931,0.9254658385093167,0.8385093167701864,0.884472049689441,0.9254658385093167
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Precision,0.8,0.8545454545454545,0.9272727272727272,0.9,0.8695652173913043,0.8702766798418973,0.9272727272727272
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Recall,0.8666666666666667,0.7833333333333333,0.85,0.9,0.6666666666666666,0.8133333333333332,0.9
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,F1-score,0.832,0.817391304347826,0.8869565217391303,0.9,0.7547169811320754,0.8382129614438064,0.9
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Accuracy,0.8207070707070707,0.8434343434343434,0.8409090909090909,0.8560606060606061,0.7954545454545454,0.8313131313131313,0.8560606060606061
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Precision,0.6578947368421053,0.696551724137931,0.78,0.7980769230769231,0.6079545454545454,0.7080955859023009,0.7980769230769231
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Recall,0.8403361344537815,0.8487394957983193,0.6554621848739496,0.6974789915966386,0.8991596638655462,0.788235294117647,0.8991596638655462
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,F1-score,0.7380073800738007,0.7651515151515151,0.7123287671232876,0.7443946188340808,0.7254237288135594,0.7370612019992487,0.7651515151515151
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Accuracy,0.7670212765957447,0.7978723404255319,0.7851063829787234,0.7882978723404256,0.7925531914893617,0.7861702127659574,0.7978723404255319
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Precision,0.6938775510204082,0.852112676056338,0.8381294964028777,0.8523985239852399,0.7859237536656891,0.8044884002261107,0.8523985239852399
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Recall,0.7846153846153846,0.6205128205128205,0.5974358974358974,0.5923076923076923,0.6871794871794872,0.6564102564102564,0.7846153846153846
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,F1-score,0.7364620938628158,0.7181008902077151,0.6976047904191616,0.6989409984871408,0.7332421340629274,0.7168701814079521,0.7364620938628158
