Dataset,Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,average,min
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,MAE,0.6695165456149148,0.6220907707610777,0.6998696894010561,0.6595916755433026,0.6511048090554419,0.6604346980751586,0.6220907707610777
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,MAPE,0.13526205764010654,0.13060530896416714,0.1459262651424848,0.13407039354402617,0.13676409107370793,0.13652562327289852,0.13060530896416714
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,MAE,0.6072605256731408,0.4646084507190619,0.4804616816255253,0.5899643349462729,0.5436834451757391,0.537195687627948,0.4646084507190619
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,MAPE,0.15552751492128322,0.12821049494630235,0.1272274385266423,0.16084809570829953,0.14799604301904104,0.1439619174243137,0.1272274385266423
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,MAE,0.6986639598482667,0.6726211358819866,0.7694061218388704,0.6479942727923423,0.6461014780026623,0.6869573936728257,0.6461014780026623
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,MAPE,0.15339385883641724,0.1472733490985728,0.17782564932951606,0.1453667050491989,0.14085982478523024,0.15294387741978704,0.14085982478523024
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,MAE,0.8555434656770777,0.7366762954102605,0.8615468066955736,0.6738763423164553,0.760105592729887,0.7775497005658508,0.6738763423164553
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,MAPE,0.20182977198224422,0.18496269305116447,0.2061146389455835,0.15543771863161154,0.18741667168235426,0.18715229885859158,0.15543771863161154
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,MAE,0.7056175795197879,0.6187632920482483,0.6109417166717113,0.6554960864261323,0.6304338590349986,0.6442505067401757,0.6109417166717113
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,MAPE,0.14680415274749112,0.12732535592063476,0.12527884122130223,0.13335512808397854,0.13270326639062247,0.13309334887280583,0.12527884122130223
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,MAE,0.5841392281653286,0.6621897661123429,0.7112292721949028,0.5795559046246245,0.5672699697286023,0.6208768281651602,0.5672699697286023
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,MAPE,0.10499040371977408,0.11643435296498957,0.14525120773054906,0.10819515169593408,0.1000941374550689,0.11499305071326313,0.1000941374550689
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,MAE,0.6127237262084507,0.5912124637523358,0.6658225803878102,0.651518957279903,0.6593938469499333,0.6361343149156866,0.5912124637523358
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,MAPE,0.1555704674521938,0.14716963706355807,0.15422898313592892,0.15650437963407238,0.15436561115590386,0.1535678156883314,0.14716963706355807
