Dataset,Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,average,max
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Accuracy,0.8163265306122449,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7482993197278912,0.7700680272108843,0.8163265306122449
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Precision,0.8260869565217391,0.75,0.8235294117647058,0.84375,0.75,0.798673273657289,0.84375
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Recall,0.6666666666666666,0.5789473684210527,0.49122807017543857,0.47368421052631576,0.5263157894736842,0.5473684210526315,0.6666666666666666
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,F1-score,0.7378640776699029,0.6534653465346535,0.6153846153846154,0.6067415730337079,0.6185567010309279,0.6464024627307615,0.7378640776699029
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Accuracy,0.8023952095808383,0.844311377245509,0.8413173652694611,0.8323353293413174,0.8323353293413174,0.8305389221556887,0.844311377245509
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Precision,0.7714285714285715,0.8333333333333334,0.8072289156626506,0.7857142857142857,0.8076923076923077,0.8010794827662296,0.8333333333333334
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Recall,0.5192307692307693,0.625,0.6442307692307693,0.6346153846153846,0.6057692307692307,0.6057692307692307,0.6442307692307693
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,F1-score,0.6206896551724139,0.7142857142857143,0.716577540106952,0.7021276595744681,0.6923076923076924,0.6891976522894481,0.716577540106952
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Accuracy,0.8565737051792829,0.8844621513944223,0.8565737051792829,0.8764940239043825,0.8326693227091634,0.8613545816733067,0.8844621513944223
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Precision,0.8539325842696629,0.8888888888888888,0.8987341772151899,0.9146341463414634,0.8352941176470589,0.8782967828724526,0.9146341463414634
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Recall,0.7676767676767676,0.8080808080808081,0.7171717171717171,0.7575757575757576,0.7171717171717171,0.7535353535353535,0.8080808080808081
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,F1-score,0.8085106382978724,0.8465608465608466,0.7977528089887641,0.8287292817679557,0.7717391304347826,0.8106585412100442,0.8465608465608466
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Accuracy,0.774869109947644,0.7958115183246073,0.774869109947644,0.774869109947644,0.774869109947644,0.7790575916230368,0.7958115183246073
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Precision,0.6842105263157895,0.7777777777777778,0.8387096774193549,0.7058823529411765,0.723404255319149,0.7459969179546495,0.8387096774193549
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Recall,0.609375,0.546875,0.40625,0.5625,0.53125,0.53125,0.609375
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,F1-score,0.6446280991735538,0.6422018348623854,0.5473684210526316,0.6260869565217391,0.6126126126126127,0.6145795848445845,0.6446280991735538
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Accuracy,0.8819875776397516,0.84472049689441,0.8881987577639752,0.8944099378881988,0.8571428571428571,0.8732919254658384,0.8944099378881988
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Precision,0.8360655737704918,0.8431372549019608,0.9038461538461539,0.9056603773584906,0.8245614035087719,0.8626541526771738,0.9056603773584906
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Recall,0.85,0.7166666666666667,0.7833333333333333,0.8,0.7833333333333333,0.7866666666666667,0.85
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,F1-score,0.8429752066115703,0.7747747747747747,0.8392857142857143,0.8495575221238938,0.8034188034188033,0.8220024042429512,0.8495575221238938
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Accuracy,0.797979797979798,0.803030303030303,0.8156565656565656,0.8207070707070707,0.8257575757575758,0.8126262626262626,0.8257575757575758
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Precision,0.7671232876712328,0.7887323943661971,0.7875,0.8333333333333334,0.7777777777777778,0.7908933586297082,0.8333333333333334
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Recall,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.5042016806722689,0.5882352941176471,0.5126050420168068,0.5882352941176471
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,F1-score,0.5833333333333333,0.5894736842105263,0.6331658291457287,0.6282722513089005,0.6698564593301436,0.6208203114657265,0.6698564593301436
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Accuracy,0.8042553191489362,0.776595744680851,0.7627659574468085,0.7627659574468085,0.7659574468085106,0.774468085106383,0.8042553191489362
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Precision,0.912,0.8913043478260869,0.892018779342723,0.9073170731707317,0.8828828828828829,0.8971046166444848,0.912
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Recall,0.5846153846153846,0.5256410256410257,0.48717948717948717,0.47692307692307695,0.5025641025641026,0.5153846153846154,0.5846153846153846
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,F1-score,0.7125,0.6612903225806452,0.6301824212271974,0.6252100840336134,0.6405228758169935,0.65394114073169,0.7125
