Dataset,Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,average,min
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,MAE,0.6271972313365669,0.6268502979348038,0.6467131397071882,0.6116566126323498,0.6169298239547929,0.6258694211131403,0.6116566126323498
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,MAPE,0.13299171865227105,0.13326477714178486,0.1371416871854616,0.12945166525474475,0.12942757149584294,0.13245548394602105,0.12942757149584294
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,MAE,0.5486430495650425,0.533401182910874,0.5510627864059284,0.5848207473793281,0.5473566961020419,0.553056892472643,0.533401182910874
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,MAPE,0.15820524879062242,0.14997156911500098,0.15561091511598713,0.16333777353130297,0.15333327684472223,0.15609175667952715,0.14997156911500098
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,MAE,0.6405106302491302,0.6412943085981841,0.676488301036633,0.6479750164464138,0.6648312450041506,0.6542199002669024,0.6405106302491302
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,MAPE,0.14512519635337318,0.1424611487588292,0.15341872252959426,0.14510625104785888,0.1475986651473162,0.14674199676739436,0.1424611487588292
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,MAE,0.6538611954912855,0.6370803142070178,0.6345590089967825,0.6575995179660213,0.6751407687278916,0.6516481610777998,0.6345590089967825
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,MAPE,0.1590138999081672,0.1544132508012957,0.15478541912894864,0.16312005378500358,0.16629261904739792,0.1595250485341626,0.1544132508012957
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,MAE,0.5912594598238944,0.5885169839340271,0.6060365464555602,0.5941997296144109,0.5945138893449616,0.5949053218345709,0.5885169839340271
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,MAPE,0.12300431587639599,0.1222228782091138,0.12726402449216648,0.1252271019821761,0.12427139311597714,0.12439794273516591,0.1222228782091138
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,MAE,0.6869761080185394,0.7306080093637602,0.7341538991288035,0.7036734417711891,0.6675464001698321,0.7045915716904249,0.6675464001698321
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,MAPE,0.14019121353621491,0.1507206220279287,0.14911241342658568,0.1451393411228421,0.13732109389759561,0.1444969368022334,0.13732109389759561
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,MAE,0.6396008947585403,0.6362089264241347,0.6453231838076847,0.6439342773319122,0.6396806009111368,0.6409495766466817,0.6362089264241347
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,MAPE,0.16107581353390715,0.1583093391215834,0.16242416511532226,0.16192274464888032,0.15954646173813913,0.16065570483156646,0.1583093391215834
