Dataset,Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,average,max
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Accuracy,0.7278911564625851,0.782312925170068,0.8095238095238095,0.7687074829931972,0.782312925170068,0.7741496598639456,0.8095238095238095
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Precision,0.639344262295082,0.7272727272727273,0.7301587301587301,0.7169811320754716,0.7450980392156863,0.7117709782035394,0.7450980392156863
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,Recall,0.6842105263157895,0.7017543859649122,0.8070175438596491,0.6666666666666666,0.6666666666666666,0.7052631578947367,0.8070175438596491
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,F1-score,0.6610169491525425,0.7142857142857142,0.7666666666666667,0.6909090909090909,0.7037037037037038,0.7073164249435436,0.7666666666666667
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Accuracy,0.8233532934131736,0.8413173652694611,0.8413173652694611,0.8353293413173652,0.8293413173652695,0.834131736526946,0.8413173652694611
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Precision,0.7922077922077922,0.8,0.8,0.7816091954022989,0.7974683544303798,0.7942570684080943,0.8
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,Recall,0.5865384615384616,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6057692307692307,0.6307692307692307,0.6538461538461539
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,F1-score,0.6740331491712708,0.7195767195767195,0.7195767195767195,0.7120418848167539,0.6885245901639345,0.7027506126610795,0.7195767195767195
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Accuracy,0.8685258964143426,0.8764940239043825,0.8406374501992032,0.8764940239043825,0.8247011952191236,0.8573705179282868,0.8764940239043825
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Precision,0.8586956521739131,0.8617021276595744,0.8641975308641975,0.8695652173913043,0.8235294117647058,0.855537987970739,0.8695652173913043
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,Recall,0.797979797979798,0.8181818181818182,0.7070707070707071,0.8080808080808081,0.7070707070707071,0.7676767676767677,0.8181818181818182
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,F1-score,0.8272251308900525,0.839378238341969,0.7777777777777777,0.837696335078534,0.7608695652173914,0.8085894094611449,0.839378238341969
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Accuracy,0.8219895287958116,0.8010471204188482,0.806282722513089,0.7696335078534031,0.7801047120418848,0.7958115183246073,0.8219895287958116
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Precision,0.7884615384615384,0.76,0.813953488372093,0.6851851851851852,0.75,0.7595200424037634,0.813953488372093
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,Recall,0.640625,0.59375,0.546875,0.578125,0.515625,0.575,0.640625
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,F1-score,0.7068965517241379,0.6666666666666666,0.6542056074766355,0.6271186440677967,0.6111111111111112,0.6531997162092695,0.7068965517241379
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Accuracy,0.84472049689441,0.8757763975155279,0.9006211180124224,0.8881987577639752,0.8819875776397516,0.8782608695652174,0.9006211180124224
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Precision,0.7464788732394366,0.8225806451612904,0.8333333333333334,0.8,0.8153846153846154,0.8035554934237352,0.8333333333333334
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,Recall,0.8833333333333333,0.85,0.9166666666666666,0.9333333333333333,0.8833333333333333,0.8933333333333333,0.9333333333333333
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,F1-score,0.8091603053435115,0.8360655737704918,0.8730158730158729,0.8615384615384616,0.848,0.8455560427336677,0.8730158730158729
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Accuracy,0.8156565656565656,0.8106060606060606,0.8358585858585859,0.8333333333333334,0.8080808080808081,0.8207070707070707,0.8358585858585859
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Precision,0.6949152542372882,0.7558139534883721,0.7755102040816326,0.7226890756302521,0.6837606837606838,0.7265378342396458,0.7755102040816326
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,Recall,0.6890756302521008,0.5462184873949579,0.6386554621848739,0.7226890756302521,0.6722689075630253,0.653781512605042,0.7226890756302521
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,F1-score,0.6919831223628692,0.6341463414634146,0.7004608294930875,0.7226890756302521,0.6779661016949152,0.6854490941289078,0.7226890756302521
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Accuracy,0.7872340425531915,0.7776595744680851,0.7776595744680851,0.7776595744680851,0.7851063829787234,0.781063829787234,0.7872340425531915
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Precision,0.8653846153846154,0.8693877551020408,0.8755186721991701,0.8786610878661087,0.8916666666666667,0.8761237594437205,0.8916666666666667
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,Recall,0.5769230769230769,0.5461538461538461,0.541025641025641,0.5384615384615384,0.5487179487179488,0.5502564102564103,0.5769230769230769
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,F1-score,0.6923076923076923,0.6708661417322833,0.6687797147385104,0.6677265500794912,0.6793650793650794,0.6758090356446113,0.6923076923076923
