Dataset,Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,average,min
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,MAE,0.6043659667579495,0.591818533787111,0.6299194332693709,0.6153109949462268,0.599138186902416,0.608110623132615,0.591818533787111
clean_datasets/class_clean_datasets\Climber_1_Dataset_cleaned.csv,MAPE,0.12482142076934083,0.12219729956431338,0.13214836750055234,0.12575597336348646,0.12216285756771951,0.1254171837530825,0.12216285756771951
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,MAE,0.4283027670340624,0.40365980413859476,0.4147815033347307,0.43451483949215824,0.42733539578443513,0.42171886195679625,0.40365980413859476
clean_datasets/class_clean_datasets\Climber_2_Dataset_cleaned.csv,MAPE,0.12350179799642527,0.11179302148340366,0.1138404926938959,0.11846737865542359,0.11540304883647448,0.11660114793312457,0.11179302148340366
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,MAE,0.4850703026668959,0.4920406351051482,0.5102235235540991,0.4492248576950742,0.5290363081897872,0.4931191254422009,0.4492248576950742
clean_datasets/class_clean_datasets\Climber_3_Dataset_cleaned.csv,MAPE,0.11177073526011543,0.10761882108566409,0.11231926217338795,0.09966837639511027,0.11793639873603425,0.1098627187300624,0.09966837639511027
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,MAE,0.5302102815418344,0.5022428447663472,0.5042511905051027,0.5482838902797998,0.5393945297021516,0.5248765473590471,0.5022428447663472
clean_datasets/class_clean_datasets\Climber_4_Dataset_cleaned.csv,MAPE,0.12555815409734283,0.12058434533942107,0.11997323185688417,0.13410098443926496,0.13017448833000034,0.12607824081258268,0.11997323185688417
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,MAE,0.5797541748662913,0.586516913419925,0.5859687343147231,0.5627040951888754,0.5376378527339201,0.570516354104747,0.5376378527339201
clean_datasets/class_clean_datasets\Climber_5_Dataset_cleaned.csv,MAPE,0.12032387116293128,0.12131758234762502,0.12263561053869816,0.11772494561500853,0.11192305335558508,0.1187850126039696,0.11192305335558508
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,MAE,0.4203940720269174,0.41791890305702134,0.4573009429555951,0.41629848094901656,0.40082681058633207,0.4225478419149765,0.40082681058633207
clean_datasets/class_clean_datasets\Climber_6_Dataset_cleaned.csv,MAPE,0.07774637997035741,0.07717675125874138,0.08505274818859862,0.0794283958869579,0.07429480729136345,0.07873981651920375,0.07429480729136345
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,MAE,0.5963006296056382,0.5837516475231089,0.6151318534891657,0.6250374441451215,0.5991738027714668,0.6038790755069001,0.5837516475231089
clean_datasets/class_clean_datasets\Climber_7_Dataset_cleaned.csv,MAPE,0.1467036125205812,0.14095981695127824,0.14924216460613976,0.15367583127490414,0.1467103115518284,0.14745834738094638,0.14095981695127824
