Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Flash,6+,6+,13,1,Norway,Drammen,Drammen - Damtjern - Susis-Veggen,Good,30,10,2022,34
Red point,8-,8-,15,2,Norway,Drammen,Drammen - Damtjern - Susis-Veggen,Very Good,30,10,2022,43
Red point,8-,8-,20,3,Norway,Drammen,Drammen - Damtjern - Venstre,Classic,10,8,2022,43
Flash,7b,7b,15,2,Norway,Jarberget,Jarberget,Very Good,18,9,2022,44
Flash,5+,5+,15,1,Norway,Jarberget,Jarberget,Good,18,9,2022,22
Flash,6+,6+,15,1,Norway,Jarberget,Jarberget,Good,18,9,2022,34
Flash,6c+,6c+,40,2,Norway,Jarberget,Jarberget,Very Good,18,9,2022,38
Flash,7-,7,40,1,Norway,Jarberget,Jarberget,Good,18,9,2022,36
Flash,6+,7-,35,2,Norway,Jarberget,Jarberget,Very Good,17,9,2022,34
Flash,6,6,18,1,Norway,Jarberget,Jarberget,Good,17,9,2022,31
Flash,7,7,40,1,Norway,Jarberget,Jarberget,Good,17,9,2022,38
Flash,7,7,27,2,Norway,Drammen,Drammen - Damtjern - Venstre,Classic,8,10,2022,38
Red point,7/7+,7,25,2,Norway,Drammen,Drammen - Damtjern - Venstre,Very Good,8,10,2022,39
Flash,7/7+,7,15,1,Norway,Fetsund,Fetsund - Hovedveggen,Good,8,5,2022,39
Flash,5,5,12,1,Norway,Sperrebotn,Sperrebotn,Good,31,7,2022,19
Red point,8-,8-,18,2,Norway,Sperrebotn,Sperrebotn,Very Good,31,7,2022,43
Flash,7-,7-,14,2,Norway,Sperrebotn,Sperrebotn,Very Good,31,7,2022,36
Flash,6-,6-,15,2,Norway,Sperrebotn,Sperrebotn,Very Good,31,7,2022,28
Flash,7-,7-,17,2,Norway,Sperrebotn,Sperrebotn,Very Good,31,7,2022,36
Flash,6a,6a,25,1,Norway,Beachen,Beachen,Very Good,28,7,2022,28
Flash,5a,5a,18,1,Norway,Beachen,Beachen,Very Good,27,7,2022,20
Flash,6a,6a,25,2,Norway,Beachen,Beachen,Very Good,25,7,2022,28
Red point,7-,7-,55,2,Norway,Erdalen,Erdalen,Very Good,24,7,2022,36
Flash,6a,6a,8,1,Norway,Beachen,Beachen,Good,23,7,2022,28
Flash,6a,6a,8,1,Norway,Beachen,Beachen,Good,23,7,2022,28
Flash,6b,6b,23,2,Norway,Beachen,Beachen,Classic,22,7,2022,32
Flash,7,7,17,2,Norway,Natten,Natten - Venstre - Hjørnet,Very Good,19,7,2022,38
Flash,6-,6-,22,1,Norway,Natten,Natten - Venstre - Skogsveggen,Good,19,7,2022,28
Flash,6+,6+,17,1,Norway,Natten,Natten - Venstre - Hjørnet,Good,18,7,2022,34
Flash,5+,5+,22,1,Norway,Natten,Natten - Venstre - Skogsveggen,Good,18,7,2022,22
Flash,6+,6+,12,1,Norway,Natten,Natten - Venstre - Baronveggen,Good,18,7,2022,34
Flash,6+,6+,20,2,Norway,Kolsås,Kolsås - Den skjulte veggen - Midtre,Very Good,16,7,2022,34
Flash,5,5,20,1,Norway,Kolsås,Kolsås - Den skjulte veggen - Midtre,Very Good,16,7,2022,19
Flash,6-,6-,20,1,Norway,Kolsås,Kolsås - Den skjulte veggen - Midtre,Very Good,16,7,2022,28
Flash,7-,7-,20,2,Norway,Kolsås,Kolsås - Den skjulte veggen - Midtre,Classic,16,7,2022,36
Red point,7/7+,6c+,20,1,Norway,Kolsås,Kolsås - Den skjulte veggen - Venstre,Good,16,7,2022,39
Flash,7/7+,7,15,1,Norway,Isdammen,Isdammen - 7er-veggen,Very Good,6,11,2022,39
Flash,6,6,15,2,Norway,Isdammen,Isdammen - 7er-veggen,Good,6,11,2022,31
