Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Sulzburger Flugshow;;Onsight;7-;;Sport;Sport;28m;;1;*;251602851;http://www.thecrag.com/route/251602851;Germany;http://www.thecrag.com/area/11747131;Altvogelbachfels;http://www.thecrag.com/area/251600511;Altvogelbachfels - Oberer Fels;Very Good;04.03.2023 01:00;04.03.2023 22:30;
Hardcore;;Onsight;7+;;Sport;Sport;28m;;1;**;251601396;http://www.thecrag.com/route/251601396;Germany;http://www.thecrag.com/area/11747131;Altvogelbachfels;http://www.thecrag.com/area/251600511;Altvogelbachfels - Oberer Fels;Very Good;04.03.2023 01:00;04.03.2023 22:30;
Gehirnwäsche;;Hang dog;8-;;Sport;Sport;28m;;1;**;251600991;http://www.thecrag.com/route/251600991;Germany;http://www.thecrag.com/area/11747131;Altvogelbachfels;http://www.thecrag.com/area/251600511;Altvogelbachfels - Oberer Fels;Very Good;04.03.2023 01:00;04.03.2023 22:30;
Gitanes Blondes;;Attempt;8+;;Sport;Toprope;;;1;*;251601126;http://www.thecrag.com/route/251601126;Germany;http://www.thecrag.com/area/11747131;Altvogelbachfels;http://www.thecrag.com/area/251600511;Altvogelbachfels - Oberer Fels;Good;04.03.2023 01:00;04.03.2023 22:29;
Toprope;;Onsight;8-;;Sport;Sport;22m;;1;*;251603121;http://www.thecrag.com/route/251603121;Germany;http://www.thecrag.com/area/11747131;Altvogelbachfels;http://www.thecrag.com/area/251600511;Altvogelbachfels - Oberer Fels;Average;04.03.2023 01:00;04.03.2023 22:28;
Sonica;;Red point;6c+;;Sport;Sport;25m;;1;***;16128679;http://www.thecrag.com/route/16128679;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Boragni - Strapatente - Grotta della Strapatente;Mega Classic;22.02.2023 01:00;22.02.2023 20:53;
Sottotenente;;Onsight;6b;;Sport;Sport;;;1;*;6694377273;http://www.thecrag.com/route/6694377273;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Boragni - Skarafonia;Good;22.02.2023 01:00;22.02.2023 20:50;
Il Ritorno di Andreix;;Flash;6a+;;Sport;Sport;19m;;1;**;506830362;http://www.thecrag.com/route/506830362;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Boragni - Skarafonia;Good;22.02.2023 01:00;22.02.2023 20:50;
Oggi Sposi;;Flash;6a;;Sport;Sport;19m;;1;**;506830251;http://www.thecrag.com/route/506830251;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Boragni - Skarafonia;Classic;22.02.2023 01:00;22.02.2023 20:50;
Roger Rabbit;;Onsight;5c;;Sport;Sport;15m;;1;**;2961670653;http://www.thecrag.com/route/2961670653;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Valle di Rian Cornei - Cordon Bleu;Very Good;20.02.2023 01:00;20.02.2023 20:38;
Arsura vaginale;;Flash;6a+;;Sport;Sport;14m;;1;***;2961664119;http://www.thecrag.com/route/2961664119;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Valle di Rian Cornei - Cordon Bleu;Classic;20.02.2023 01:00;20.02.2023 20:38;
Pappa Cica;;Red point;6b+;;Sport;Sport;16m;;1;**;16084297;http://www.thecrag.com/route/16084297;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Valle di Rian Cornei - Avancorpo della placconata centrale di Rian Cornei;Classic;20.02.2023 01:00;20.02.2023 20:35;
Per uscire dalle tenebre;;Red point;6c+;;Sport;Sport;20m;;1;***;16099471;http://www.thecrag.com/route/16099471;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Rocca Carpanea - Grotta dell'Edera;Mega Classic;19.02.2023 01:00;20.02.2023 08:34;
Remember me as a friend;;Onsight;6b;;Sport;Sport;20m;;1;**;16099849;http://www.thecrag.com/route/16099849;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Rocca Carpanea - Grotta dell'Edera;Good;19.02.2023 01:00;20.02.2023 08:33;
Messalina;;Hang dog;7a+;;Sport;Sport;18m;;1;**;1642038381;http://www.thecrag.com/route/1642038381;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Boragni - Domus Aurea;Very Good;18.02.2023 01:00;19.02.2023 08:05;
Agnus dei;;Onsight;6a+;;Sport;Sport;18m;;1;**;1642038276;http://www.thecrag.com/route/1642038276;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Boragni - Domus Aurea;Good;18.02.2023 01:00;19.02.2023 08:04;
Rosella salta in sella;;Onsight;6b+;;Sport;Sport;16m;;1;**;1642038177;http://www.thecrag.com/route/1642038177;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Boragni - Domus Aurea;Very Good;18.02.2023 01:00;19.02.2023 08:03;
Kristallkrähe;;Hang dog;7a+;;Sport;Sport;15m;;1;**;278280981;http://www.thecrag.com/route/278280981;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Pelzmühletal - Überhängende Wand;Very Good;14.02.2023 01:00;14.02.2023 19:16;
Via Maduschka;;Onsight;6a;;Sport;Sport;25m;;1;**;278265537;http://www.thecrag.com/route/278265537;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Pelzmühletal - Grellingerwand;Classic;14.02.2023 01:00;14.02.2023 19:14;
Gelbe Verschneidung;;Onsight;5c;;Sport;Sport;21m;;1;**;278261538;http://www.thecrag.com/route/278261538;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Pelzmühletal - Grellingerwand;;14.02.2023 01:00;14.02.2023 19:14;
Ligne Après;;Red point;7a;;Sport;Sport;21m;;1;***;278262678;http://www.thecrag.com/route/278262678;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Pelzmühletal - Grellingerwand;Classic;14.02.2023 01:00;14.02.2023 19:13;
Lueg zerscht, wohär dr Wind wäit;;Flash;5b;;Sport;Sport;18m;;1;**;278368878;http://www.thecrag.com/route/278368878;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Tannenfluh - Obere Tannenflue;Mega Classic;12.02.2023 01:00;13.02.2023 09:34;
Big Boss;;Onsight;6a;;Sport;Sport;25m;;1;**;278367300;http://www.thecrag.com/route/278367300;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Tannenfluh - Obere Tannenflue;Classic;12.02.2023 01:00;13.02.2023 09:34;
Erogene Zone;;Red point;6c+;;Sport;Sport;;;1;*;278367921;http://www.thecrag.com/route/278367921;Switzerland;http://www.thecrag.com/area/11747203;Basler Jura;http://www.thecrag.com/area/157688250;Basler Jura - Tannenfluh - Obere Tannenflue;;12.02.2023 01:00;13.02.2023 09:34;
